Seg,mV
0.06315613,0.0511635004196231
0.06320286,0.050720988784618906
0.06496143,0.050598916609445335
0.06499648,0.05052262149996185
0.08850574,0.05052262149996185
0.08860755,0.05058365758754864
0.08868599,0.050644693675135424
0.08875871,0.05120927748531319
0.09036994,0.05687037460898756
0.09046984,0.05305561913481346
0.10459733,0.030472266727702754
0.1046989,0.01879911497672999
0.10477614,0.02285801480125124
0.12178183,0.02307164110780499
0.1434598,0.02406347753109026
0.14357281,0.03096055542839704
0.14365315,0.02998397802700847
0.14372754,0.02606240939955749
0.14379883,0.02958724345769436
0.15427899,0.031280994888227664
0.15432167,0.028503852903028915
0.16225672,0.03100633249408713
0.16228008,0.030777447165636684
0.17556334,0.0272983901731899
0.175596,0.030502784771496146
0.1854682,0.0332646677347982
0.18557906,0.02835126268406195
0.20947123,0.02873273823147936
0.20958209,0.03506523231860838
0.20966339,0.03079270618753338
0.20973468,0.02758831158922713
0.21545815,0.03405813687342641
0.2155714,0.03356984817273213
0.22958231,0.02780193789578088
0.22968459,0.032654306858930345
0.23888206,0.03250171663996338
0.23898506,0.02832074464026856
0.25551271,0.03405813687342641
0.25562501,0.036911573968108645
0.25570416,0.031021591515983826
0.27053905,0.03430228122377356
0.2706418,0.03605706874189364
0.27260017,0.03158617532616159
0.27264929,0.03347829404135195
0.2855103,0.039963378347447925
0.28561091,0.03521782253757534
0.29231095,0.03213550011444266
0.29235911,0.037415121690699625
0.30552769,0.036911573968108645
0.30562615,0.032654306858930345
0.31456995,0.03564507515068284
0.33846259,0.03556878004119936
0.33856487,0.03143358510719463
0.3386426,0.03517204547188525
0.33871555,0.03778133821622034
0.34034085,0.03309681849393454
0.34040022,0.030762188143739988
0.35045171,0.031204699778744183
0.35049891,0.028122377355611506
0.35959888,0.030685893034256503
0.35967779,0.035248340581368734
0.383358,0.028625925078202486
0.38343406,0.02639810788128481
0.39256811,0.03445487144274052
0.40530157,0.031662470435645074
0.40536094,0.02423132677195392
0.40540862,0.029266803997863737
0.40545297,0.031738765545128556
0.41924882,0.02775616083009079
0.41929007,0.030579079880979628
0.41932631,0.031326771953917754
0.41936016,0.02597085526817731
0.4286263,0.029098954757000077
0.42865133,0.03472953383688106
0.43725991,0.02766460669871061
0.45033503,0.02606240939955749
0.45039868,0.03237964446478981
0.46529961,0.02993820096131838
0.46532464,0.0290074006256199
0.47026229,0.03205920500495918
0.47028661,0.027649347676813915
0.48520827,0.025772487983520255
0.48523402,0.03422598611429008
0.48525786,0.03372243839169909
0.49472928,0.025848783093003737
0.49483395,0.029434653238727397
0.50330281,0.03213550011444266
0.50335717,0.027924010070954453
0.51731753,0.031143663691157397
0.53131342,0.03439383535515374
0.53136683,0.027618829633020522
0.53140283,0.02784771496147097
0.53143787,0.03422598611429008
0.5402863,0.030167086289768826
0.54034162,0.02806134126802472
0.54963136,0.03280689707789731
0.54968977,0.029602502479591057
0.56368613,0.02673380636301213
0.56375122,0.03358510719462882
